Year,H,surfaceT,Z
-122850,,-11.0477,-230.0
-122800,,-10.9861,-230.0
-122750,,-11.0414,-230.0
-122700,,-11.0897,-230.0
-122650,,-11.0701,-230.0
-122600,,-11.054,-230.0
-122550,,-11.0253,-230.0
-122500,,-10.9504,-230.0
-122450,,-10.8986,-230.0
-122400,,-10.8797,-230.0
-122350,,-10.8797,-230.0
-122300,,-10.8923,-230.0
-122250,,-10.8888,-230.0
-122200,,-10.8279,-230.0
-122150,,-10.8118,-230.0
-122100,,-10.8468,-230.0
-122050,,-10.8699,-230.0
-122000,,-10.9056,-230.0
-121950,,-10.9217,-230.0
-121900,,-10.9147,-230.0
-121850,,-10.9343,-230.0
-121800,,-10.97,-230.0
-121750,,-10.9315,-230.0
-121700,,-10.9217,-230.0
-121650,,-10.9406,-230.0
-121600,,-11.0092,-230.0
-121550,,-11.1709,-230.0
-121500,,-11.187,-230.0
-121450,,-11.0932,-230.0
-121400,,-11.096,-230.0
-121350,,-11.1191,-230.0
-121300,,-11.1674,-230.0
-121250,,-11.2066,-230.0
-121200,,-11.3004,-230.0
-121150,,-11.4719,-230.0
-121100,,-11.5363,-230.0
-121050,,-11.5461,-230.0
-121000,,-11.5622,-230.0
-120950,,-11.6658,-230.0
-120900,,-11.7533,-230.0
-120850,,-11.7113,-230.0
-120800,,-11.7596,-230.0
-120750,,-11.8926,-230.0
-120700,,-11.9633,-230.0
-120650,,-12.0382,-230.0
-120600,,-12.0928,-230.0
-120550,,-12.1383,-230.0
-120500,,-12.1866,-230.0
-120450,,-12.1775,-230.0
-120400,,-12.2195,-230.0
-120350,,-12.3231,-230.0
-120300,,-12.2713,-230.0
-120250,,-12.2062,-230.0
-120200,,-12.2713,-230.0
-120150,,-12.3714,-230.0
-120100,,-12.4652,-230.0
-120050,,-12.4715,-230.0
-120000,,-12.5366,-230.0
-119950,,-12.5982,-230.0
-119900,,-12.4911,-230.0
-119850,,-12.475,-230.0
-119800,,-12.692,-230.0
-119750,,-12.8894,-230.0
-119700,,-12.9216,-230.0
-119650,,-12.9734,-230.0
-119600,,-13.0217,-230.0
-119550,,-13.0378,-230.0
-119500,,-13.1029,-230.0
-119450,,-13.1512,-230.0
-119400,,-13.4396,-230.0
-119350,,-13.7077,-230.0
-119300,,-13.5978,-230.0
-119250,,-13.6853,-230.0
-119200,,-13.889,-230.0
-119150,,-13.9023,-230.0
-119100,,-13.8505,-230.0
-119050,,-13.7567,-230.0
-119000,,-13.8792,-230.0
-118950,,-14.1412,-230.0
-118900,,-14.1728,-230.0
-118850,,-14.0462,-230.0
-118800,,-14.0484,-230.0
-118750,,-14.1647,-230.0
-118700,,-14.1186,-230.0
-118650,,-14.0466,-230.0
-118600,,-13.9656,-231.0
-118550,,-13.9845,-231.0
-118500,,-14.2003,-231.0
-118450,,-14.3166,-231.0
-118400,,-14.3776,-231.0
-118350,,-14.4414,-231.0
-118300,,-14.473,-231.0
-118250,,-14.4304,-231.0
-118200,,-14.3493,-231.0
-118150,,-14.332,-231.0
-118100,,-14.2964,-231.0
-118050,,-14.2048,-231.0
-118000,,-14.1237,-231.0
-117950,,-14.1133,-231.0
-117900,,-14.2422,-231.0
-117850,,-14.3382,-231.0
-117800,,-14.3831,-231.0
-117750,,-14.3924,-231.0
-117700,,-14.2427,-231.0
-117650,,-14.2484,-231.0
-117600,,-14.4585,-231.0
-117550,,-14.5909,-231.0
-117500,,-14.6582,-231.0
-117450,,-14.6602,-231.0
-117400,,-14.5915,-231.0
-117350,,-14.5424,-231.0
-117300,,-14.5094,-231.0
-117250,,-14.5149,-231.0
-117200,,-14.5686,-231.0
-117150,,-14.5748,-231.0
-117100,,-14.5866,-231.0
-117050,,-14.6537,-231.0
-117000,,-14.7439,-231.0
-116950,,-14.7879,-231.0
-116900,,-14.6968,-231.0
-116850,,-14.5566,-231.0
-116800,,-14.5656,-231.0
-116750,,-14.73,-231.0
-116700,,-14.6935,-231.0
-116650,,-14.4918,-231.0
-116600,,-14.6176,-231.0
-116550,,-14.7687,-232.0
-116500,,-14.7518,-232.0
-116450,,-14.7895,-232.0
-116400,,-14.6984,-232.0
-116350,,-14.594,-232.0
-116300,,-14.7325,-232.0
-116250,,-14.8933,-232.0
-116200,,-14.9051,-232.0
-116150,,-14.8882,-232.0
-116100,,-14.9455,-232.0
-116050,,-14.8901,-232.0
-116000,,-14.7465,-232.0
-115950,,-14.8108,-232.0
-115900,,-14.894,-232.0
-115850,,-14.861,-232.0
-115800,,-14.8799,-232.0
-115750,,-14.7167,-232.0
-115700,,-14.6739,-232.0
-115650,,-14.9293,-232.0
-115600,,-14.9188,-232.0
-115550,,-14.6555,-232.0
-115500,,-14.3572,-232.0
-115450,,-14.0261,-232.0
-115400,,-13.7635,-232.0
-115350,,-13.769,-232.0
-115300,,-13.8942,-232.0
-115250,,-13.9522,-232.0
-115200,,-13.9284,-232.0
-115150,,-13.9311,-232.0
-115100,,-14.0402,-232.0
-115050,,-14.0912,-232.0
-115000,,-13.9675,-232.0
-114950,,-13.8406,-232.0
-114900,,-13.9142,-232.0
-114850,,-13.9523,-232.0
-114800,,-13.8803,-232.0
-114750,,-13.9345,-232.0
-114700,,-14.0082,-232.0
-114650,,-13.9945,-232.0
-114600,,-13.9549,-232.0
-114550,,-13.9832,-232.0
-114500,,-13.9501,-232.0
-114450,,-13.9358,-232.0
-114400,,-14.0316,-233.0
-114350,,-14.04,-233.0
-114300,,-13.9545,-233.0
-114250,,-13.9208,-233.0
-114200,,-14.0684,-233.0
-114150,,-14.1577,-233.0
-114100,,-13.9234,-233.0
